name,contact_email,contact_verified,website,contact_found_by
alogra digital GmbH,,needs-check,https://www.alogra.digital/,
Netzkern GmbH,,needs-check,https://www.netzkern.de/,
Fraunhofer Institutes (Leipzig),,needs-check,https://www.fraunhofer.de/,
Radio PSR,,needs-check,https://www.radio-psr.de/,
BMW Werk Leipzig (IT/Engineering departments),,needs-check,https://www.bmwgroup.com/,
SCOPE Marketing GmbH,,needs-check,https://www.scope-marketing.de/,
DREIPOL – Digitalagentur,,needs-check,https://www.dreipol.de/,
HHL Leipzig Graduate School of Management,info@hhl.de,auto-found,https://www.hhl.de/,https://www.hhl.de/imprint/
INPOSIA GmbH,,needs-check,https://www.inposia.de/,
Mephisto 97.6 (Universitätsradio),,needs-check,https://www.mephisto976.de/,
Netural GmbH,,needs-check,https://www.netural.de/,
INFARM GmbH,,needs-check,https://www.infarm.de/,
Grow Digital,,needs-check,https://grow-digital.de/,
Deloitte (regional office),ethics@deloitte.de,auto-found,https://www2.deloitte.com/de/de.html,https://www.deloitte.com/de/de/about/story/purpose-values.html
PSWGROUP,support@psw.de,auto-found,https://www.psw-group.de/,https://www.psw-group.de/kontakt/
Eilenburg – local web/IT firms (directory),Icon-60@2x.png,auto-found,https://www.eilenburg.de/,https://www.eilenburg.de/
Wurzen – local digital businesses (directory),,needs-check,https://www.wurzen.de/,
Grimma – Web / IT agencies (directory),Icon-60@2x.png,auto-found,https://www.grimma.de/,https://www.grimma.de/
Taucha – local web/IT,,needs-check,https://www.taucha.de/,
Zwenkau – local digital services,Icon-60@2x.png,auto-found,https://www.zwenkau.de/,https://www.zwenkau.de/
